row_num,current_ed_2019,current_ed_2019_raw,recommended_minority_2026,source
1,Calgary-Foothills,Calgary-Foothills,Calgary-Foothills-Airdrie West,Appendix E pp 307-308 (minority hybrid tables)
2,Calgary-Cross,Calgary-Cross,Calgary-Cross,Appendix E pp 307-308 (minority hybrid tables)
3,Calgary-Peigan,Calgary-Peigan,Calgary-Peigan-Chestermere,Appendix E pp 307-308 (minority hybrid tables)
4,Calgary-Hays,Calgary-Hays,Calgary-Hays,Appendix E pp 307-308 (minority hybrid tables)
5,Calgary-South East,Calgary-South East,Calgary-South East,Appendix E pp 307-308 (minority hybrid tables)
6,Calgary-West,Calgary-West,Calgary-West-TsuuT'ina,Appendix E pp 307-308 (minority hybrid tables)
7,Calgary-Bow,Calgary-Bow,Calgary-Bow-Springbank,Appendix E pp 307-308 (minority hybrid tables)
8,Calgary-North West,Calgary-North West,Calgary-North West-Bearspaw,Appendix E pp 307-308 (minority hybrid tables)
9,Airdrie-Cochrane,Airdire-Cochrane,Calgary-Nolan Hill-Cochrane,Appendix E pp 307-308 (minority hybrid tables)
10,NEW,NEW,Calgary-De Winton,Appendix E pp 307-308 (minority hybrid tables)
11,NEW,NEW,Calgary-Airdrie,Appendix E pp 307-308 (minority hybrid tables)
12,Spruce Grove-Stony Plain,Spruce Grove-Stony Plain,Edmonton-Spruce Grove,Appendix E pp 307-308 (minority hybrid tables)
13,NEW,NEW,Edmonton-Enoch-Devon,Appendix E pp 307-308 (minority hybrid tables)
14,NEW,NEW,Edmonton-Beaumont,Appendix E pp 307-308 (minority hybrid tables)
15,Lethbridge-West,Lethbridge-West,Lethbridge – Fort MacLeod-Crowsnest Pass,Appendix E pp 307-308 (minority hybrid tables)
16,Lethbridge-East,Lethbridge-East,Lethbridge - Little Bow,Appendix E pp 307-308 (minority hybrid tables)
17,Cardston-Siksika,Cardston-Siksika,Lethbridge - Cardston,Appendix E pp 307-308 (minority hybrid tables)
18,Taber-Warner,Taber-Warner,Lethbridge - Taber-Warner,Appendix E pp 307-308 (minority hybrid tables)
19,Lacombe-Ponoka,Lacombe-Ponoka,Red Deer - Lacombe,Appendix E pp 307-308 (minority hybrid tables)
20,Red Deer-North,Red Deer-North,Red Deer - Blackfalds,Appendix E pp 307-308 (minority hybrid tables)
21,Red Deer-South,Red Deer-South,Red Deer - Sylvan Lake,Appendix E pp 307-308 (minority hybrid tables)
22,Innisfail-Sylvan Lake,Innisfail-Sylvan Lake,Red Deer - Innisfail,Appendix E pp 307-308 (minority hybrid tables)
